@relation 'Loan_Default-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Lfirst-last-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Resample-S1-Z66.0-weka.filters.unsupervised.attribute.Remove-R1-9,13-17,19,21,23-27,29,32'

@attribute rate_of_interest numeric
@attribute Interest_rate_spread numeric
@attribute Upfront_charges numeric
@attribute construction_type {sb,mh}
@attribute Secured_by {home,land}
@attribute income numeric
@attribute LTV numeric
@attribute Security_Type {direct,Indriect}
@attribute Status {yes,no}

@data
4.25,-0.248,0,sb,home,16380,72.898707,direct,no
4.125,0.5974,3710.94,sb,home,1800,76.685393,direct,no
3.875,0.3864,4820,sb,home,2700,77.052239,direct,no
3.25,-0.2487,7892.42,sb,home,4080,81.47482,direct,no
3.99,0.2607,0,sb,home,2820,99.418605,direct,no
4.875,0.8733,0,sb,home,6720,91.089965,direct,no
4.875,1.4384,?,sb,home,1920,15.479651,direct,no
3.875,0.0662,0,sb,home,6840,71.566901,direct,no
?,?,?,sb,home,4800,99.395161,direct,yes
4.625,1.0039,2002.95,sb,home,6420,59.920635,direct,no
3.875,0.3627,1540.97,sb,home,2220,56.11413,direct,no
4.375,0.4128,5940,sb,home,5940,42.879747,direct,no
4.25,0.8054,1573.14,sb,home,7560,66.108247,direct,no
3.99,0.4937,6750,sb,home,2760,32.882166,direct,no
?,?,?,sb,home,3240,70.220588,direct,yes
?,?,?,sb,home,3000,99.395161,direct,yes
4.25,0.8798,1841.02,sb,home,2400,99.202128,direct,no
?,?,?,sb,home,1560,39.902507,direct,yes
?,?,?,sb,home,6720,93.445122,direct,yes
3.99,0.7893,0,sb,home,10380,94.471154,direct,no
4.75,1.0014,2775.63,sb,home,4500,48.417722,direct,no
?,?,?,sb,home,2460,99.050633,direct,yes
4.5,0.8112,?,sb,home,4140,33.963816,direct,no
5.125,0.8576,2058.2,sb,home,4560,87.202381,direct,no
?,?,?,sb,home,4500,89.663462,direct,yes
3.99,0.1706,4549.86,sb,home,4620,47.745491,direct,no
?,?,?,sb,home,6480,81.392694,direct,yes
4.99,0.8143,?,sb,home,2460,56.859756,direct,no
4.5,0.9589,0,sb,home,5340,86.764706,direct,no
4.875,1.1483,1150,sb,home,9720,97.036082,direct,no
3.99,0.8373,5234.06,sb,home,5340,69.589552,direct,no
3.99,0.0984,6930,sb,home,3780,27.337786,direct,no
3.875,0.1435,0,sb,home,14340,83.554572,direct,no
?,?,?,sb,home,3600,86.949686,direct,yes
3.75,0.072,3116.7,sb,home,28380,66.776938,direct,no
?,?,?,sb,home,13320,79.471545,direct,yes
4.125,0.6071,9125.66,sb,home,7680,85.201149,direct,no
4.625,0.2519,0,sb,home,8100,39.170792,direct,no
4.25,0.5807,4860,sb,home,3900,88.722826,direct,no
?,?,?,sb,home,4260,54.21627,direct,yes
3.875,0.1654,0,sb,home,15660,37.031921,direct,no
3.75,0.1651,4615.87,sb,home,1500,57.440476,direct,no
?,?,?,sb,home,7800,73.948598,direct,yes
3.5,0.7791,3750,sb,home,2820,30.603448,direct,no
4.5,0.8398,4079.75,sb,home,4200,67.045455,direct,no
3.375,-0.2429,1094,sb,home,3180,70.933014,direct,no
5.375,1.0755,1291.69,sb,home,6360,75.717703,direct,no
3.625,-0.0411,795,sb,home,10440,46.510673,direct,no
3.875,0.1065,0,sb,home,3900,47.759857,direct,no
4.375,1.6199,4767.65,sb,home,7620,82.035176,direct,no
3.99,0.5656,4994,sb,home,2760,80.048077,direct,no
3.75,-0.0351,0,sb,home,5640,58.054893,direct,no
4.5,0.3391,3657.64,sb,home,3840,31.657609,direct,no
3.75,0.9454,173.05,sb,home,6780,93.238994,direct,no
3.99,1.0126,3462.5,sb,home,4440,53.810976,direct,no
?,?,?,sb,home,4020,113.701923,direct,yes
3.625,0.7372,0,sb,home,11460,97.939068,direct,no
4.75,0.6448,?,sb,home,6000,75.201613,direct,no
3.875,0.7382,3401.23,sb,home,4980,85.550459,direct,no
4.625,0.4963,3357.5,sb,home,10200,74.100257,direct,no
4.625,0.163,630,sb,home,12480,80.776515,direct,no
3.75,0.2767,5450,sb,home,1860,76.376147,direct,no
3.875,0.328,1413,sb,home,8940,46.676892,direct,no
?,?,?,sb,home,4380,68.356643,direct,yes
4.5,0.685,9530,sb,home,4980,80.027933,direct,no
4.75,0.3903,0,sb,home,8220,85.87963,direct,no
4.125,0.3093,0,sb,home,7380,83.793605,direct,no
?,?,?,sb,home,17640,106.072695,direct,yes
?,?,?,sb,home,1680,69.957983,direct,yes
3.99,0.156,4473.56,sb,home,4800,92.085427,direct,no
3.75,0.0539,1050,sb,home,12120,61.259191,direct,no
4,0.1724,0,sb,home,6180,69.265233,direct,no
3.625,0.0127,595,sb,home,6540,94.976636,direct,no
3.56,-0.138,0,sb,home,14640,62.685644,direct,no
3.375,-0.3491,0,sb,home,6600,44.848901,direct,no
3.75,0.7898,2750,sb,home,7500,59.33908,direct,no
4.125,0.0462,908.33,sb,home,8760,68.787575,direct,no
4.56,0.5001,250,sb,home,8700,80.783582,direct,no
4.375,0.5964,0,sb,home,4500,56.944444,direct,no
?,?,?,sb,home,900,49.031008,direct,yes
3.99,0.9693,2590.55,sb,home,5400,86.525974,direct,no
3.99,0.6747,3514.64,sb,home,5160,69.345238,direct,no
3.99,0.7487,1551.25,sb,home,4020,40.542763,direct,no
?,?,?,sb,home,4980,102.672956,direct,yes
?,?,?,sb,home,4680,92.266187,direct,yes
4.5,1.0226,6699.95,sb,home,6000,70.32872,direct,no
4.99,1.2898,1862.5,sb,home,7260,92.721519,direct,no
?,?,?,sb,home,3840,86.525974,direct,yes
4.25,0.0554,3584.15,sb,home,38820,79.362416,direct,no
3.99,0.2349,4396.8,sb,home,6780,79.43314,direct,no
3.625,0.1186,2000.79,sb,home,5700,70.683453,direct,no
?,?,?,sb,home,3660,74.497487,direct,yes
5.5,1.378,1500,sb,home,4620,60.125184,direct,no
?,?,?,sb,home,3420,77.412281,direct,yes
4.375,-0.035,2636.2,sb,home,7140,62.960829,direct,no
?,?,?,sb,home,2520,89.304124,direct,yes
3.5,0.2862,0,sb,home,7200,42.1875,direct,no
3.99,0.2746,3917,sb,home,4920,36.607143,direct,no
4.18,0.1009,4178.92,sb,home,7440,80.405405,direct,no
5.25,1.3634,2350,sb,home,1800,18.482906,direct,no
3.99,0.6277,4736.15,sb,home,6420,85.590278,direct,no
4.125,1.0732,4226.55,sb,home,2160,93.154762,direct,no
4.625,1.1851,1929.72,sb,home,2400,84.42029,direct,no
3.99,0.8812,3265.75,sb,home,3540,34.577922,direct,no
4.125,-0.009,8172,sb,home,5640,70.752896,direct,no
?,?,?,sb,home,5460,89.42953,direct,yes
?,?,?,sb,home,2100,73.698885,direct,yes
4.375,0.3773,5636.14,sb,home,4860,103.427419,direct,no
4.25,0.7833,0,sb,home,7800,95.405983,direct,no
?,?,?,sb,home,9360,74.114173,direct,yes
3.625,0.1549,4026.31,sb,home,6000,84.855769,direct,no
?,?,?,sb,home,6840,33.477011,direct,yes
?,?,?,sb,home,4620,98.295455,direct,yes
4.75,0.4197,5000,sb,home,9660,79.275093,direct,no
3.875,0.2985,5384.18,sb,home,6480,71.792763,direct,no
4.625,0.4728,0,sb,home,8700,26.740057,direct,no
4.25,0.4748,0,sb,home,8400,99.735915,direct,no
?,?,?,sb,home,1740,87.721893,direct,yes
4.25,0.2034,6430,sb,home,16320,79.853621,direct,no
?,?,?,sb,home,5580,52.870564,direct,yes
4.56,0.7428,1091.44,sb,home,7380,81.572165,direct,no
4.125,-0.1723,?,sb,home,5940,80.776515,direct,no
4.5,0.0948,767.96,sb,home,7140,79.336735,direct,no
3.99,0.3492,5321.69,sb,home,2040,52.906977,direct,no
3.99,-0.458,935,sb,home,13260,79.788419,direct,no
3.875,0.1198,0,sb,home,16260,81.936813,direct,no
4.25,0.9071,3212.5,sb,home,4620,65.756303,direct,no
?,?,?,sb,home,3660,60.334646,direct,yes
3,-0.0693,1552.69,sb,home,8700,81.25,direct,no
4.25,1.2607,1464.46,sb,home,2820,83.203125,direct,no
5.19,1.2521,1202.15,sb,home,3060,98.828125,direct,no
3.99,0.35,1718.56,sb,home,3780,96.597633,direct,no
4.25,1.3112,3915,sb,home,7620,77.412281,direct,no
?,?,?,sb,home,8040,77.052239,direct,yes
3.99,-0.1046,3903.77,sb,home,26760,80.448718,direct,no
?,?,?,sb,home,3540,85.472973,direct,yes
4.875,1.269,3106.25,sb,home,3420,65.625,direct,no
4.5,0.212,919.38,sb,home,8220,84.251412,direct,no
4.125,0.4771,0,sb,home,8640,83.054711,direct,no
3.25,-0.2506,6125,sb,home,12000,31.676343,direct,no
3.875,0.077,0,sb,home,5340,57.445141,direct,no
3.875,0.1721,0,sb,home,5580,67.857143,direct,no
5.19,1.1738,2061.76,sb,home,3960,79.454023,direct,no
3.75,0.16,0,sb,home,21600,56.955485,direct,no
4.5,1.0507,0,sb,home,7200,97.489083,direct,no
4.99,1.3377,2384.6,sb,home,7260,93.445122,direct,no
4.5,1.2921,2875,sb,home,2940,67.578125,direct,no
5.125,1.1249,2824.27,sb,home,1800,32.142857,direct,no
?,?,?,sb,home,7800,85.925197,direct,yes
?,?,?,sb,home,3360,85.64257,direct,yes
3.99,0.6596,4838.75,sb,home,2940,57.965686,direct,no
4.5,1.8059,1298.9,sb,home,660,96.052632,direct,no
4.5,0.1417,2671.5,sb,home,3480,68.410853,direct,no
3.5,-0.1608,8586.5,sb,home,9960,54.738267,direct,no
4.375,0.0845,2568.64,sb,home,2160,55.872483,direct,no
4.99,1.4183,2158,sb,home,3000,73.305085,direct,no
4.875,1.0752,1250,sb,home,6780,59.645062,direct,no
3.25,0.2066,602.13,sb,home,8700,55.753138,direct,no
4.25,0.7856,4609.78,sb,home,4980,65.625,direct,no
4.625,0.2445,1204.82,sb,home,8460,79.653285,direct,no
4.375,0.3686,1184.55,sb,home,11700,71.648045,direct,no
3.625,0.4923,0,sb,home,4440,82.035176,direct,no
3.56,-0.1566,3100,sb,home,5640,75.717703,direct,no
4.125,0.5549,392.4,sb,home,4980,79.653285,direct,no
4,0.0301,2584.08,sb,home,4080,59.929907,direct,no
3.5,-0.0258,2696,sb,home,5580,99.592391,direct,no
3.99,0.6274,2984.38,sb,home,3540,80.063291,direct,no
?,?,?,sb,home,3360,98.986486,direct,yes
4.18,-0.1963,1213.26,sb,home,5100,73.948598,direct,no
3.99,0.5143,4424.01,sb,home,3780,80.03876,direct,no
4.125,0.5952,1770.54,sb,home,9480,74.283439,direct,no
3.99,0.8819,5211.59,sb,home,3180,70.833333,direct,no
?,?,?,sb,home,1980,75.201613,direct,yes
3.875,0.4929,5521.25,sb,home,6240,82.327586,direct,no
4.125,1.4438,2914.2,sb,home,3180,54.746835,direct,no
3.5,-0.5887,2907.9,sb,home,14040,69.026975,direct,no
3.5,-0.0734,16340.15,sb,home,7020,81.25,direct,no
3.5,-0.0046,3562.93,sb,home,6540,68.685567,direct,no
4.5,0.3392,10550,sb,home,4980,78.76569,direct,no
4.25,0.7154,3331.66,sb,home,2460,57.352941,direct,no
4.375,1.187,0,sb,home,27360,28.798232,direct,no
3.875,1.1803,6991.8,sb,home,4380,83.805031,direct,no
4.625,0.9264,900,sb,home,2280,98.469388,direct,no
?,?,?,sb,home,7500,59.929907,direct,yes
3.99,0.2182,5780.8,sb,home,8580,51.993166,direct,no
4.375,0.2982,926.2,sb,home,6060,80.017921,direct,no
?,?,?,sb,home,8040,86.949686,direct,yes
5.25,0.7365,1853.88,sb,home,5400,69.589552,direct,no
3.99,0.5122,1250,sb,home,5460,96.597633,direct,no
3.625,0.4259,21112.12,sb,home,26640,79.43314,direct,no
